model,month,fcst_qty,prod_qty,업체(거래선)
PN036MWJ-VF,2026-07-01,3410,2174,Coway
PN036MWJ-VF,2026-08-01,1269,244,Coway
PN036MWJ-VF,2026-09-01,244,0,Coway
PN036MWJ-VF(A),2026-07-01,0,200,Coway
PN036MWJ-VF(A),2026-08-01,600,1000,Coway
PN036MWJ-VF(A),2026-09-01,600,0,Coway
PN036MWJ-VF(C),2026-07-01,0,17,Coway
PN036MWJ-VF(C),2026-08-01,17,35,Coway
PN036MWJ-VF(C),2026-09-01,35,0,Coway
PN037WCW-V1,2026-06-01,0,108,Coway
PN037WCW-V1,2026-07-01,216,108,Coway
PN037WCW-V1,2026-08-01,108,108,Coway
PN037WCW-VF(EU),2026-08-01,790,790,Coway
PN037WCW-VF(M),2026-08-01,252,252,Coway
PN038BWJ-VF(A),2026-06-01,0,400,Coway
PN038BWJ-VF(A),2026-07-01,400,400,Coway
PN038BWJ-VF(A),2026-08-01,1150,1150,Coway
PN038BWJ-VF(A),2026-09-01,400,0,Coway
PN043WCW-TANK(SA),2026-06-01,0,196,Coway
PN043WCW-TANK(SA),2026-07-01,196,0,Coway
PN043WCW-TANK(SA),2026-08-01,375,375,Coway
PN045WCW-VDC(B),2026-06-01,1577,2523,Coway
PN045WCW-VDC(B),2026-07-01,946,705,Coway
PN045WCW-VDC(B),2026-08-01,2273,1568,Coway
PN045WWJ-FILTER,2026-06-01,200,290,Coway
PN045WWJ-FILTER,2026-07-01,90,250,Coway
PN045WWJ-FILTER,2026-08-01,430,180,Coway
PN047WCW-VF,2026-06-01,2204,3567,Coway
PN047WCW-VF,2026-07-01,1363,600,Coway
PN047WCW-VF,2026-08-01,2650,4000,Coway
PN047WCW-VF,2026-09-01,1950,0,Coway
PN048WCW-TANK(I),2026-07-01,0,223,Coway
PN048WCW-TANK(I),2026-08-01,295,72,Coway
PN048WCW-TANK(M),2026-06-01,6592,26799,Coway
PN048WCW-TANK(M),2026-07-01,35561,16954,Coway
PN048WCW-TANK(M),2026-08-01,16164,26867,Coway
PN048WCW-TANK(M),2026-09-01,12303,0,Coway
PN048WWJ-V1,2026-06-01,225,225,Coway
PN048WWJ-V2,2026-06-01,0,360,Coway
PN048WWJ-V2,2026-07-01,360,300,Coway
PN048WWJ-V2,2026-08-01,300,360,Coway
PN048WWJ-V2,2026-09-01,360,0,Coway
PN048WWJ-V3,2026-06-01,0,672,Coway
PN048WWJ-V3,2026-07-01,672,113,Coway
PN048WWJ-V3,2026-08-01,113,133,Coway
PN048WWJ-V3,2026-09-01,133,0,Coway
PN048WWJ-VF,2026-06-01,0,1000,Coway
PN048WWJ-VF,2026-07-01,2100,1700,Coway
PN048WWJ-VF,2026-08-01,2400,2900,Coway
PN048WWJ-VF,2026-09-01,1100,0,Coway
PN048WWJ-VF(A),2026-06-01,0,140,Coway
PN048WWJ-VF(A),2026-07-01,140,0,Coway
PN048WWJ-VF(A),2026-08-01,235,510,Coway
PN048WWJ-VF(A),2026-09-01,275,0,Coway
PN048WWJ-VF(M),2026-06-01,2775,7174,Coway
PN048WWJ-VF(M),2026-07-01,6441,3500,Coway
PN048WWJ-VF(M),2026-08-01,6540,9919,Coway
PN048WWJ-VF(M),2026-09-01,4837,0,Coway
PN049BCW-VF,2026-06-01,3952,10870,Coway
PN049BCW-VF,2026-07-01,7266,348,Coway
PN049BCW-VF(M),2026-06-01,217,1417,Coway
PN049BCW-VF(M),2026-07-01,2200,1950,Coway
PN049BCW-VF(M),2026-08-01,2550,1600,Coway
PN050ACW-VF,2026-06-01,981,3186,Coway
PN050ACW-VF,2026-07-01,3850,1991,Coway
PN050ACW-VF,2026-08-01,346,3857,Coway
PN050ACW-VF,2026-09-01,3857,0,Coway
PN050ACW-VF(A),2026-06-01,162,162,Coway
PN050ACW-VF(A),2026-08-01,0,200,Coway
PN050ACW-VF(A),2026-09-01,200,0,Coway
PN050ACW-VF(A-1),2026-06-01,0,701,Coway
PN050ACW-VF(A-1),2026-07-01,731,30,Coway
PN050DCW-V2,2026-08-01,0,500,Coway
PN050DCW-V2,2026-09-01,500,0,Coway
PN051BCW-VF,2026-06-01,1420,2220,Coway
PN051BCW-VF,2026-07-01,2300,1500,Coway
PN051BCW-VF,2026-08-01,700,2100,Coway
PN051BCW-VF,2026-09-01,1400,0,Coway
PN051BCW-VF(A),2026-06-01,0,950,Coway
PN051BCW-VF(A),2026-07-01,950,0,Coway
PN051BCW-VF(A),2026-08-01,0,500,Coway
PN051BCW-VF(A),2026-09-01,500,0,Coway
PN052MWJ-VF(E),2026-06-01,0,200,Coway
PN052MWJ-VF(E),2026-07-01,200,0,Coway
PN052MWJ-VF(J),2026-06-01,0,1380,Coway
PN052MWJ-VF(J),2026-07-01,2093,713,Coway
PN052MWJ-VF(J),2026-08-01,713,713,Coway
PN055BCW-VF,2026-06-01,592,2312,Coway
PN055BCW-VF,2026-07-01,1720,0,Coway
PN055BCW-VF,2026-08-01,200,2050,Coway
PN055BCW-VF,2026-09-01,1850,0,Coway
PN060WCW-VF,2026-06-01,110,730,Coway
PN060WCW-VF,2026-07-01,1460,1440,Coway
PN060WCW-VF,2026-08-01,1100,1300,Coway
